season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2023,Daniel,Martin,LB,Vanderbilt,,2022-09-02T17:42:00.000Z,,4,Immediate
2023,Shadeed,Ahmed,WR,Marshall,Texas State,2023-01-14T20:14:00.000Z,,2,Immediate
2023,Adin,Huntington,DL,Kent State,,2022-12-05T14:21:00.000Z,,3,Immediate
2023,Dashaun,Mallory,DL,Michigan State,Arizona State,2022-12-05T13:46:00.000Z,0.89,3,Immediate
2023,Isaiah,Bruce,DL,Iowa,,2023-01-11T14:40:00.000Z,,3,Immediate
2023,Lorando,Johnson,CB,Baylor,Arkansas,2023-01-02T23:20:00.000Z,0.89,3,Immediate
2023,Devin,Carter,WR,NC State,West Virginia,2022-12-13T18:46:00.000Z,0.91,4,Immediate
2023,Sergio,Allen,LB,Clemson,California,2022-12-05T12:11:00.000Z,0.85,3,Immediate
2023,Raydarious,Jones,CB,LSU,Mississippi State,2022-12-07T21:58:00.000Z,0.88,3,Immediate
2023,Jimari,Butler,EDGE,Nebraska,,2022-12-07T17:43:00.000Z,,3,Immediate
2023,Jose,Pizano,K,Missouri State,UNLV,2023-02-01T21:43:00.000Z,,,Immediate
2023,Chris,Thomas,DL,Florida,,2022-12-09T15:08:00.000Z,0.86,3,Immediate
2023,Austin,Johnson,IOL,Colorado,Charlotte,2022-12-09T00:00:00.000Z,,3,Immediate
2023,Trajan,Jeffcoat,EDGE,Missouri,Arkansas,2023-01-09T06:00:00.000Z,0.88,3,TBD
2023,John,Paddock,QB,Ball State,Illinois,2022-11-29T18:39:00.000Z,0.87,3,Immediate
2023,Erick,Cade,OT,Ole Miss,,2022-12-05T22:13:00.000Z,,3,Immediate
2023,Seth,Anderson,WR,Iowa,Iowa,2023-01-01T15:57:00.000Z,,,Immediate
2023,Cameron,Wright,WR,Memphis,,2022-12-29T21:05:00.000Z,,3,Immediate
2023,Marcus,Fleming,WR,Maryland,,2022-08-26T15:12:00.000Z,,4,Immediate
2023,Taylor,Lewis,DL,Arkansas,,2022-08-25T14:28:00.000Z,,,Immediate
