season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2023,DeAndre,Thomas,RB,Kansas,,2023-04-27T18:55:00.000Z,,,Immediate
2023,Quan,Lee,WR,UCF,,2023-04-27T18:43:00.000Z,,3,Immediate
2023,Daron,Allman,LB,Angelo State,UT San Antonio,2023-01-31T17:17:00.000Z,,,Immediate
2023,Noah,Bolticoff,OT,TCU,Indiana,2023-04-18T18:26:00.000Z,,3,Immediate
2023,Landyn,Watson,EDGE,TCU,,2023-04-18T18:25:00.000Z,,3,Immediate
2023,William,Thomas,OT,New Mexico State,,2023-04-18T18:17:00.000Z,,,Immediate
2023,Jojuan,Claiborne,CB,Nevada,,2022-10-26T15:59:00.000Z,,2,Immediate
2023,Isaiah,Lewis,CB,Colorado,,2022-11-30T16:21:00.000Z,,4,Immediate
2023,Aaron,Moore,WR,Old Dominion,,2022-12-02T14:16:00.000Z,,2,Immediate
2023,Isaiah,Iton,DL,Ole Miss,Rutgers,2023-01-07T01:10:00.000Z,,3,Immediate
2023,Jacob,Katona,DL,Stanford,,2022-12-02T14:09:00.000Z,,,Immediate
2023,Spencer,Shrader,K,South Florida,Notre Dame,2022-12-02T14:09:00.000Z,0.79,2,Immediate
2023,JP,Zamora,QB,Washington State,,2022-11-15T17:35:00.000Z,,3,Immediate
2023,Jordan,McCloud,QB,Arizona,James Madison,2022-10-27T22:05:00.000Z,,3,Immediate
2023,Al,Blades Jr.,CB,Miami,Duke,2022-12-01T17:40:00.000Z,0.87,3,Immediate
2023,Brandon,MacKinnon,OT,Northern Illinois,UMass,2022-12-13T21:49:00.000Z,,3,Immediate
2023,Dainsus,Miller,S,Marshall,,2023-04-30T14:30:00.000Z,,3,Immediate
2023,Frankco,Gratton,EDGE,Fresno State,,2023-04-30T14:29:00.000Z,,3,Immediate
2023,McKyle,So'oto,LB,California,,2023-04-30T14:29:00.000Z,,,Immediate
2023,Jalen,McLeod,LB,Appalachian State,,2023-04-28T01:07:00.000Z,,3,Immediate
2023,Ethan,Calvert,LB,Utah,Cal Poly,2022-12-09T19:10:00.000Z,,4,Immediate
2023,Miles,Posey,EDGE,Charlotte,Hampton,2022-12-23T06:00:00.000Z,,2,Immediate
2023,Chace,Davis,DL,UT San Antonio,,2023-01-06T20:42:00.000Z,,3,Immediate
2023,Peter,Delaportas,QB,Boston College,,2023-04-29T22:23:00.000Z,,3,Immediate
2023,Viczaril,Alobwede,EDGE,UMass,,2023-04-29T21:47:00.000Z,,2,Immediate
2023,Brandon,Higgs,CB,East Carolina,,2023-04-29T21:44:00.000Z,,,Immediate
2023,Myles,Murao,IOL,Washington,,2023-04-29T20:43:00.000Z,,4,Immediate
2023,Dylan,Brooks,EDGE,Auburn,,2023-04-29T19:56:00.000Z,,4,Immediate
2023,Kyree,Moyston,EDGE,Virginia Tech,,2023-04-29T15:55:00.000Z,,3,Immediate
2023,Jalen,Hoyle,S,Virginia Tech,,2023-04-29T15:55:00.000Z,,3,Immediate
2023,Larry,Nixon III,LB,North Texas,,2023-04-29T15:54:00.000Z,,2,Immediate
2023,Jyaire,Shorter,WR,North Texas,,2023-04-29T15:52:00.000Z,,3,Immediate
2023,Bernock,Iya,CB,Texas State,,2023-04-29T13:49:00.000Z,,2,Immediate
2023,Nishad,Strother,IOL,East Carolina,,2023-04-29T13:49:00.000Z,,2,Immediate
2023,Xavier,Williams,QB,Charlotte,,2023-04-28T22:01:00.000Z,,3,Immediate
2023,Grayson,McCall,QB,Coastal Carolina,,2022-12-12T19:48:00.000Z,0.94,4,Immediate
2023,Malik,Jones,S,UT San Antonio,,2023-04-28T21:05:00.000Z,,3,Immediate
2023,Nathan,McElroy,QB,Louisville,,2023-04-28T13:47:00.000Z,,,Immediate
2023,Ajani,Cornelius,OT,Rhode Island,Oregon,2022-12-01T14:42:00.000Z,0.92,4,Immediate
2023,Ryan,Selig,LB,Western Michigan,Minnesota,2022-11-28T17:32:00.000Z,0.88,3,Immediate
2023,Travion,Brown,LB,Washington State,Arizona State,2022-12-02T20:45:00.000Z,0.84,3,Immediate
